... loading data
... building the model
** Model weights: **
mean of Weights Matrix:  -6.35461e-05  STD:  0.0394253
(784, 500)
(500,)
** Model weights: **
mean of Weights Matrix:  8.01995e-05  STD:  0.0447826
(500, 500)
(500,)
... training
epoch 59, minibatch 2500/2500, validation error 2.170000 %
     epoch 59, minibatch 2500/2500, test error of best model 2.170000 %
epoch 60, minibatch 2500/2500, validation error 2.160000 %
     epoch 60, minibatch 2500/2500, test error of best model 2.170000 %
epoch 61, minibatch 2500/2500, validation error 2.150000 %
     epoch 61, minibatch 2500/2500, test error of best model 2.170000 %
epoch 62, minibatch 2500/2500, validation error 2.120000 %
     epoch 62, minibatch 2500/2500, test error of best model 2.160000 %
epoch 63, minibatch 2500/2500, validation error 2.120000 %
epoch 64, minibatch 2500/2500, validation error 2.110000 %
     epoch 64, minibatch 2500/2500, test error of best model 2.160000 %
epoch 65, minibatch 2500/2500, validation error 2.110000 %
epoch 66, minibatch 2500/2500, validation error 2.110000 %
epoch 67, minibatch 2500/2500, validation error 2.100000 %
     epoch 67, minibatch 2500/2500, test error of best model 2.140000 %
epoch 68, minibatch 2500/2500, validation error 2.100000 %
epoch 69, minibatch 2500/2500, validation error 2.090000 %
     epoch 69, minibatch 2500/2500, test error of best model 2.140000 %
epoch 70, minibatch 2500/2500, validation error 2.110000 %
epoch 71, minibatch 2500/2500, validation error 2.110000 %
epoch 72, minibatch 2500/2500, validation error 2.100000 %
epoch 73, minibatch 2500/2500, validation error 2.090000 %
epoch 74, minibatch 2500/2500, validation error 2.090000 %
epoch 75, minibatch 2500/2500, validation error 2.090000 %
epoch 76, minibatch 2500/2500, validation error 2.090000 %
epoch 77, minibatch 2500/2500, validation error 2.090000 %
epoch 78, minibatch 2500/2500, validation error 2.090000 %
epoch 79, minibatch 2500/2500, validation error 2.080000 %
     epoch 79, minibatch 2500/2500, test error of best model 2.140000 %
epoch 80, minibatch 2500/2500, validation error 2.080000 %
epoch 81, minibatch 2500/2500, validation error 2.070000 %
     epoch 81, minibatch 2500/2500, test error of best model 2.140000 %
epoch 82, minibatch 2500/2500, validation error 2.070000 %
epoch 83, minibatch 2500/2500, validation error 2.070000 %
epoch 84, minibatch 2500/2500, validation error 2.070000 %
epoch 85, minibatch 2500/2500, validation error 2.070000 %
epoch 86, minibatch 2500/2500, validation error 2.060000 %
     epoch 86, minibatch 2500/2500, test error of best model 2.140000 %
epoch 87, minibatch 2500/2500, validation error 2.080000 %
epoch 88, minibatch 2500/2500, validation error 2.090000 %
epoch 89, minibatch 2500/2500, validation error 2.090000 %
epoch 90, minibatch 2500/2500, validation error 2.070000 %
epoch 91, minibatch 2500/2500, validation error 2.070000 %
epoch 92, minibatch 2500/2500, validation error 2.070000 %
epoch 93, minibatch 2500/2500, validation error 2.070000 %
epoch 94, minibatch 2500/2500, validation error 2.060000 %
epoch 95, minibatch 2500/2500, validation error 2.060000 %
epoch 96, minibatch 2500/2500, validation error 2.060000 %
epoch 97, minibatch 2500/2500, validation error 2.060000 %
epoch 98, minibatch 2500/2500, validation error 2.050000 %
     epoch 98, minibatch 2500/2500, test error of best model 2.110000 %
epoch 99, minibatch 2500/2500, validation error 2.050000 %
epoch 100, minibatch 2500/2500, validation error 2.050000 %
epoch 101, minibatch 2500/2500, validation error 2.040000 %
     epoch 101, minibatch 2500/2500, test error of best model 2.090000 %
epoch 102, minibatch 2500/2500, validation error 2.040000 %
epoch 103, minibatch 2500/2500, validation error 2.050000 %
epoch 104, minibatch 2500/2500, validation error 2.040000 %
epoch 105, minibatch 2500/2500, validation error 2.020000 %
     epoch 105, minibatch 2500/2500, test error of best model 2.070000 %
epoch 106, minibatch 2500/2500, validation error 2.020000 %
epoch 107, minibatch 2500/2500, validation error 2.020000 %
epoch 108, minibatch 2500/2500, validation error 2.020000 %
epoch 109, minibatch 2500/2500, validation error 2.020000 %
epoch 110, minibatch 2500/2500, validation error 2.020000 %
epoch 111, minibatch 2500/2500, validation error 2.020000 %
epoch 112, minibatch 2500/2500, validation error 2.020000 %
epoch 113, minibatch 2500/2500, validation error 2.010000 %
     epoch 113, minibatch 2500/2500, test error of best model 2.050000 %
epoch 114, minibatch 2500/2500, validation error 2.000000 %
     epoch 114, minibatch 2500/2500, test error of best model 2.040000 %
